requirement,requirement_detail,product_id
 WC-Anlage Duravit Starck 3," Komplette WC-Anlage bestehend aus: 1   wandhängendem Tiefspülklosett aus Kristall- Porzellan, incl. verchr. Abschlusskappen, mit Schallschutz-Set, spülrandlos, rimless     Farbe:             weiß     Fabrikat der Planung: DURAVIT     Typ der Planung:        Starck 3     Gewähltes Fabrikat: ......................     Gewählter Typ:  ......................  1  Spezial-Klosettsitz mit Deckel, Farbe weiß, aus Duoplast, mit Scharniere aus Edelstahl, abnehmbar,  mit Absenkautomatik  1 Schallschutz-Set zu Wand-WC  liefern, ins Gebäude tragen und betriebsfertig montieren",45270900A1
 Tiefspül-WC Sanitärporzellan glasiert hängend Ausladung 500-600mm," Tiefspül-WC, aus Sanitärporzellan, glasiert, Farbton weiß, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, Befestigung mit Schrauben, verdeckt, Hersteller/Typ ' Duravit / Starck 3' .",0065001000
 Papierrollenhalter chrom, Duravit Papierrollenhalter Karree Bestellnummer: 0099551000 Farbe: 10 Chrom  liefern und montieren,0099551000
 Wand-Tiefspülklosett Behindertengerecht ," Wand-Tiefspülklosett Behindertengerecht weiss  Incl. alle Klein-, Neben- und Befestigungs- und Dichtungsmaterialien, die zur fachgerechten Montage notwendig sind Fabrikat : Duravit Typ : D-CODE 355x700 oder glw.  gewähltes Fabriat: ..................................... gewählter Typ: ......................................  komplett liefern und fachgerecht betriebsfertig montieren ",2228090000
 Duravit Waschtisch D-Code 60x46cm weiß," Duravit Waschtisch D-Code 60x46cm weiß aus Sanitärkeramik 600x460x175mm mit Überlauf, mit Hahnlochbank Farbe: 00 Weiß Alpin  oder gleichwertig angeb. Fabrikat: '..............................'",2310600000
Waschbecken Sanitärporzellan unterfahrbar B 650-700mm Ausladung 500-55," Waschbecken, Beckenaußenform rechteckig, aus Sanitärporzellan, Farbton weiß, glasiert, hochglatt, mit Loch für Einlocharmatur, ohne Überlauf, für Ablaufventil, unterfahrbar DIN 18040, Breite über 650 bis 700 mm, Ausladung über 500 bis 550 mm, Befestigung an Instal lationselement, mit Schallschutz DIN 4109-1, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff Industrieverband Dichtstoffe I VD-Merkblatt Nr 3-1, Volumenschwund kleiner gleich 10 %, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, @11 Textergänzungen des Auftraggebers Hersteller und Typ ' Duravit/ Duravital' oder gleichwertig, @12 Textergänzungen des Bieters Hersteller und Typ ' ....................................................' vom Bieter einzutragen.",2330650000
Urinal," Urinal ,  DIN  1390,   EN  80 aus Sanitärporzellan, mit Einlaufverbinder, inkl.   1,0   Liter Absaugeformstück mit unsichtbarem , f ixiertem und selbstkalibrierendem Multiparametersensor für kontaktfreie Meßmethode gegenüber dem Abwasser ;  Durchfluss ca.  :    0,25  l / s Einstellbare Spülzeit :    5  sec . Zeitverzögerung bei Nutzung:    ca.   10  Sek.  Stadionbetriebsmodus alle  60  Sek .  bei Dauernutzung,   Selbsterkennende Multinutz ung Voreingestellte Hygienespülung alle  24  Std . , Nachspülung  0,2  Liter zum Füllen des Geruchverschlusses , Mindestgröße  : Breite ca. :         360  mm, Höhe ca. :          610  mm Ausladung ca .:  370  mm Befestigung: verdeckte innenliegende Befestigung mit Abdeckkappen weiß Zulauf: von hinten Abgang: nach hinten Betriebsdruck min. 1bar, max.10bar mit dauerhaft gebrannter,   porenfreier Glasur  Oberflächenrauheitswert nach DIN  4768 - ISO  4287  Ra  =  0,01 µm  mit Urinalsieb E delstahl einschl.  Urinal - Absauggeruchverschluß, aus Kunststoff , für verdeckte Montage,  Abgangsstutzen waagerecht, einschl.  Schallschutzset",0829300000
Urinal, (Gewähltes Fabrikat und Typ ist einzutragen),0847370000
" Wand-WC Tiefspüler, barrierefrei"," Duravit Wand-WC Starck 3 Vital Tiefspüler aus Sanitärkeramik 360x700x320mm, barrierefrei für 6 Liter Spülwasser Bestellnummer: 2203090000 Farbe: 00 Weiß  liefern und montieren",2203090000
" Duravit Starck 3 Wand-WC Vital 700 mm Tiefspüler,barrierefrei,weiß,HYG"," Duravit Wand WC Starck 3 aus Sanitärkeramik 700x370x355mm, Tiefspüler, Spülrand geschlossen, Abgang waagerecht, Wandhängend  Farbe:   weiß hochglanz, Ausführung:   Wand WC  Fabr.:   Duravit Typ:   Starck 3  oder gleichwertig  Fabrikat: ____________________________  Typ: ____________________________ ",0062610000
Tiefspülwand-WC einschl. Sitz," - Wand-WC - Tiefspüler aus Sanitärkeramik ohne Spülrand 360x540x320mm, - für 6 Liter Spülwasser  einschl. geprüfter Schallschutz-Matte (silikonverträglich)  einschl. Form-, Verbindungs-, Dichtungs- und Befestigungsmaterial  - einschl. passenden Sitz zum vorher genannten WC - aus Kunststoff - mit Absenkautomatik - Scharniere Edelstahl - Farbe: weiß  Farbe: weiß  geplantes Fabrikat/Typ: Duravit/Starck 3",45270900A1
 Waschtisch 60 x 46 cm," Duravit Waschtisch D-Code aus Sanitärkeramik, 600x460x175mm mit Überlauf, mit Hahnlochbank Bestellnummer: 2310600000 Farbe: 00 Weiss Ausführung: 1 Hahnloch EAN: 4021534344053  einschl. Bemusterung vor Bestellung einschl. Lieferung von Zahnband o. Dämmunterlage einschl. Befestigungsmaterial für Trockenbauwand einschl. Abdichtung mit Sanitärsilikon  Fabrikat/Typ: Duravit/D-Code  liefern und montieren",2310600000
WC Sitz," Duravit WC-Sitz Starck 3 mit Absenkautomatik Scharniere Edelstahl, für 210409, weiss Duravit WC-Sitz Starck 3 aus Kunststoff mit Absenkautomatik SoftClose, abnehmbar Scharniere Edelstahl, für 210409 Bestellnummer: 0067790000 Farbe: 00 Weiss EAN: 4021534403989 @60 Textergänzungen des Bieters Hersteller/Fabrikat: ............................................................ vom Bieter einzutragen",0067790000
Duschwanne 90 x 180," Duravit Duschwanne Ecke links, Ecke rechts D-Code aus Sanitäracryl 900x1800 x85 mm, Rechteckig, Glänzend, Inkl. Montageanleitung Bestellnummer: 720165000000000",720165000000000
 wie vor / Duravit Starck 3," Leistung wie zuletzt im vollen Wortlaut beschrieben, jedoch  Hersteller: Duravit Typ   Starck 3   einschl. Nebenarbeiten und Befestigungsmaterial",2200090000
Waschtisch 550 x 440 mm," Waschtisch 550 x 440 mm mit Überlauf aus Sanitärkeramik. Rechteckige Beckenform mit vorn abgerundeten Ecken und einer markanten, schmalen Keramikkante. Hahn lochbank mit Hahnloch für Einloch. Abmessungen(BxTxH):  550x440x170mm Farbe:                                                    Weiß Fabrikat der Planung:  Duravit Typ:                                                       DuraStyle Artikel-Nr.:                        2319550000 Lieferung und Montage einschließlich erforderlichem Zubehör.",2319550000
Wand WC," Duravit Wand-WC Starck 3 540 mm Tiefspüler, weiss Duravit Wand-WC Starck 3 Tiefspüler aus Sanitärkeramik 360x540x320mm, für 6 Liter Spülwasser Bestellnummer: 2200090000 Farbe: 00 Weiss EAN: 4021534223037 Hersteller/Fabrikat:     '............................................................' vom Bieter einzutragen",2200090000
" WC-Sitz, Softclose,"," WC-Sitz, Softclose, Edelstahl-Scharnier, weiss   Incl. alle Klein-, Neben- und Befestigungs- und Dichtungsmaterialien, die zur fachgerechten Montage notwendig sind  Fabrikat : Duravit Typ : D-Code oder glw.  gewähltes Fabriat: ...................................... gewählter Typ: ......................................  komplett liefern und fachgerecht betriebsfertig montieren ",0067390000
" Waschtisch 660 mm, behindertengerechte Ausführung"," Waschtisch 660 mm,  nach DIN 1386/DIN EN 32/DIN 18024-2/DIN 18025-2 behindertengerechte Ausführung, unterfahrbar, aus Sanitärporzellan, vollflächig glasiert, geschlossene Oberfläche, Oberfläche leicht reinig- und desinfizierbar, Wandseite plan, Vorderseite konkav geformt, Kanten und Ecken gerundet, Rand griffgünstig ausgebildet (Wulstform) ohne Überlauf, Herstellen Hahnloch, Farbton    weiß Maße B x T    (650-670) x (550-570) mm Waschmuldentiefe   120-160 mm einschl. Standrohrablaufventil, Standrohr sowie Ms verchromter Aufhängehaken (einschl. Montage) für Standrohr, einschl. Unterputzsifon mit Abdeckplatte weiß, einschl. Befestigungsset zur Befestigung am Traggerüst, einschl. und Schallschutzset. einschl. integrierten Seifenspender im Waschbecken, Entnahmehöhe 85 cm Einhandbedienung  Oberkante Waschtisch   800 mm  Nutzung als behindertengerechten Waschtisch in barrierefreier Nasszelle. ",2329650000
Tiefspül-WC," Tiefspül-WC, spülrandlos, 4,5/6 l, wandhängend, 540mm Ausladung CE, EN 997 - CL1 - 5/6A - 6C, EN 33 für Wandeinbauspülkasten oder Wandeinbaudruckspüler CE-gekennzeichnet Abmessungen: Breite : 355 mm Tiefe : 540 mm Farbe : weiß(alpin) Form : eckig Material : Sanitärporzellan Gewicht : 17,8 kg Einschl. Befestigungsmaterial zur schallgedämmten Montage an Montageelement angebotenen Fabrikats. Einschl. allen notwendigem Zubehör passend zu Wand-Tiefspül-WC angebotenen Fabrikats sowie aller Anschlüsse und Einbindungen. Fabrikat der Planung: Geberit Renova Plan oder gleichwertig.",2570090000
 Waschtisch Vital," Waschtisch für Behinderte,  Fabrikat:   DURAVIT  Typ:    Starck 3   Duravit Starck 3 Waschtisch Vital Design by Philippe Starck, mit Überlauf aus Sanitärkeramik.Barrierefrei nach DIN 18040- 1 und DIN 18040-2. Rechteckige Beckenform mit 35 mm breitem Rand und tierferliegender Hahnlochbank für Einlocharmatur. Wandanschuss mit Aufkantung 35x40 mm als Spritzschutz. Innenbecken 470x350 mm. Abmessungen: 700x545x160 mm.  Weiß",0309700000
 DURAVIT Badewanne Acryl Durastyle 170x75x46cm Rückenschräge links weis s (Alternative zu Position 1)," Duravit Badewanne DuraStyle aus 5 mm Sanitäracryl, 1700x750x480mm Rechteck, Einbauversion mit 1 Rückenschräge links Farbe: 00 Weiß Hersteller: Duravit Typ: 700296000000000 Liefern und montieren",700296000000000
" Behinderten Waschtisch, Größe 65 cm, weiß"," Behinderten Waschtisch, Größe 65 cm, weiß aus Sanitärporzellan, unterfahrbar, ohne Überlauf Fabrikat:  DURAVIT Typ: Vital, Starck 3 oder gleichwertig angeboten'..........' (vom Bieter zu ergänzen) einschl. Expressbefestigung liefern und montieren",0309600000
" Tiefspül-WC als Behinderten-WC, wandhängend"," Duravit Wand-WC Starck 3 Vital Tiefspüler aus Sanitärke ramik 360x700x320mm, barrierefrei für 6 Liter Spülwasser Bestellnummer: 22030900001 Farbe: 00 Weiss Oberfläche: WonderGliss Fabrikat: Geberit (Keramag) Typ: Vitalis Artikel-Nr.: 201500000  ,  - einschl. aller Klein-,Dicht- und Befestigungsmaterial ien, beh. WC-Anlage  Duravit WC-Sitz Starck 3 aus Kunststoff ohne Absenkauto matik Scharniere edelstahl Bestellnummer: 0063810000 Farbe: 00 Weiss,  Liefern und montieren.",22030900001
 Waschtisch 600x450x190mm," Waschtisch 600x450x190mm aus Sanitärkeramik mit Überlauf, mit Hahnlochbank Farbe: 00 Weiss Ausführung: 1 Hahnloch Duravit, Starck 3 Art.-Nr. 0300600000",0300600000
Badewanne Ecke links," Badewanne Ecke links, mit nahtloser Verkleidung und Gestell, mit zwei Rückenschrägen. Material: durchgefärbter Mineralguss mit seidenmatter und angenehmer Oberfläche (DuraSolid® A) in weiß. Ablauf (Ø52mm) und Überlauf mittig. Abmessungen. LxBxH:   1850x950x610mm Wannenboden: 1040x485m Innentiefe:  460mm Höhe Wasserstand: 360 mm Nutzinhalt:  252 Liter inkl. Wandprofil zur Schalldämmung, passender Ab- und Überlaufgarnitur Quadroval (chrom), Wannenabdichtband und umlaufender Silkonfuge mit Rundschnur (2 seitig) liefern und nach Herstellerangaben montieren Fabrikat: Duravit Typ:  Luv Badewanne",790126000000000
" Waschtisch 60 x 46 cm, Bäder"," Waschtisch aus Feinfeuerton. Armaturenbank: 1 Hahnloch mittig durchgestochen. Befestigung mit 2 Stockschrauben M10 x 140 mm (K710767). In Bädern.  Norm: DIN EN 14688 CL 10, DIN EN 31 Farbe: Weiß (Alpin) Außenmaße (BxTxH): 600x460x175 mm Innenbecken (BxTxH): 480x280x125 mm Armaturenbank (BxT): 600x120 mm Abstand Mitte Hahnloch / Rückwand: 60 mm Wasserinhalt Innenbecken: 5,5 l Gewicht: 17,5 kg  einschl. Bemusterung vor Bestellung einschl. Lieferung von Zahnband o. Dämmunterlage einschl. Befestigungsmaterial für Trockenbauwand einschl. Abdichtung mit Sanitärsilikon  Hersteller: Ideal Standard Serie: Connect Artikel-Nr.: E714101  liefern und montieren  oder gleichwertig  angebotenes Fabrikat:'..........'",2310600000
 WC-Sitz D-Code mit Deckel weiss Scharniere Edelstahl Duravit , WC-Sitz mit Deckel weiss Scharniere Edelstahl WC-Sitz aus Kunststoff ohne Absenkautomatik zu vorstehenden WC mit Ausladung 700 mm Hersteller/Typ: '........................................',0060310000
Duschwanne Starck Slimline 1600x900x 60mm," Duravit Duschwanne Starck Slimline aus 4 mm Sanitäracryl, 1600x900x60mm Rechteck Bestellnummer: 720131000000001 Farbe: 00 Weiss Oberfläche: Antislip EAN: 4021534893025 Einschließlich: Montagesysteme nach Vorgabe des Herstellers, Duschwannen-Antidröhn-Set, Duschwannen-Schalldämmset, Wannen-Anschluss-Schalldämmband WAS 70, DICHTSET FLEX. Ablaufventil verchromt mit Siphon 1 1/4"" ",790126000000000
 Badewanne 170x75 cm mit Wannenfüßen," Badewanne 170x75 cm mit Wannenfüßen  wie vor, jedoch  ohne Wannenträger",790127000000000
 Tiefspül-WC," Tiefspülklosett, aus Sanitärporzellan, wandhängend Wasserzulauf von hinten Befestigung an WC-Montageelement Farbton: weiß, mit rückwärtigem Abgang (waagerecht) mit Innenverbinder und Dichtungs- manschette, einschl. Anschlußrohr, Ablaufstück und Rosette Maße: 560/355 mm, Gewicht: 15 kg Spülwasserbedarf: 6 Liter einschl. Befestigungsset einschl. Schallschutzset  komplett liefern und montieren  Die erforderlichen Dichtungs-, Befestigungs- und Kleinmaterialien sind in den EP einzurechnen. ",2200090000
 Klosettsitz mit Deckel, Klosettsitz mit Deckel nach DIN 19516 mit Deckel nach DIN 19516 abnehmbar mit Madenschraube gesichert Scharniere Messing verchromt mit Absenkautomatik   ' Fabrika der Planung: Geberit Typ: Renova plan Nr. 1 oder gleichwertig ' ' '  Angebotenes Fabrikat:               ' ...................................................... '                  (vom Bieter einzutragen)  Typ:      ' ...................................................... '                  (vom Bieter einzutragen) ,0067390000
WC-Sitz mit Deckel Erwachsen,,0020710000
 Plan-Handwaschbecken 500 x 300," Plan Handwaschbecken Eigenschaften - unterbaufähig - reduzierte Randhöhe - 10 Jahre Nachkaufgarantie - eingebrannte, dauerhafte Spezialglasur mit porenfreier   hydrophiler Oberfläche, zur Flächendesinfektion geeignet - komplett geschlossener Überlaufkanal Technische Eigenschaften - Farbe: weiß - Oberfläche: KeraTect - Werkstoff: Sanitärkeramik - Nettogewicht: 16,500 kg - Hahnloch: mittig - Überlauf: sichtbar - Befestigungspunkte: 2 - B / Breite (cm): 50 cm - H / Höhe (cm): 16,5 cm - T / Tiefe (cm):  30 cm  einschl. Befestigungsset einschl. Schallschutzset  als Option für Montage im DG komplett liefern und montieren ",0751500000
 Tiefspül-WC Sanitärporzellan glasiert hochglatt abgerundet hängend Ausladung 500-600mm WC-Sitz Fuge verfüllen elast.Dichtstoff Silicon B 5mm," Tiefspül-WC DIN EN 997, aus Sanitärporzellan, glasiert, hochglatt, Standardfarbton, abgerundet, spülrandfrei, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, mit WC-Sitz, Deckel mit Absenkautomatik, Befestigung an Installationselement, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, Fugenausbildung dreieckig.",45510900A1
" Tiefspül-WC, 4,5/6 l Duravit D-Code"," Tiefspül-WC, 4,5/6 l Duravit D-Code DURAVIT D-Code Wand-WC Design by sieger design, Tiefspüler aus Sanitärkeramik wandhängend für 4,5 Liter Spülwasser mit innen glasiertem Spülrand und mit keramischem Spülwasserverteiler. Bodenfreiheit 60/45mm bei Einbauhöhe 400mm. Abmessungen(BxTxH)355x545x355/340mm. Weiß.     einschl. allen Klein-,Dichtund Befestigungsmaterials   Schallschutzset für Wand-WC zur Montage zwischen Wand-WC und Fliesenspiegel   Liefern und montieren.   gepl. Fabrikat.: Duravit   gepl. Typ: D-Code   oder gleichwertig.     gew. Fabrikat: .....................   gew. Typ : .......................   Vom Bieter einzutragen.",2535090000
"Wand-Tiefspül-WC Compact, 350x480 mm",,2211090000
 WC-Sitz Deckel weiss Scharniere Edelstahl," WC-Sitz aus hochwertigem Kunststoff. Deckel mit Sitz, verdeckte Edelstahl Scharniere, Ausführung ohne Absenkautomatik. Weiß. Passend zu vorangeführtem WC ",0020010000
Klosettsitz mit Deckel," Klosettsitz, zum vorbeschriebenen WC, WC-Sitz aus Duroplast mit übergreifendem Deckel mit höhenverstellbaren Standard L-Scharnieren Scharniere aus Edelstahl, mit einrastbarer, ovaler Unterlegscheibe zur leichteren Montage, Befestigung von unten Leichte Reinigung durch integrierte, leicht erhabene Sitzpuffer Größe: ca. Breite 370 mm, Ausladung: ca. 453 mm Farbton weiß. Gewicht: ca. 2,5 kg Befestigung an Registerelement oder Traggerüst, bzw. mit Schrauben direkt an der Wand, einschl. Schallschutzset, Einschl. Befestigungs- und Dichtungsmaterial liefern und montieren.",0067310000
 Urinale," Duravit Urinale Modell Starck 3 - WN 082725 Zulauf von hinten ohne Spülrand für 1/2"" Anschluß incl. Spüldüse Zulauf-Set, Schaftventil mit keramischer Ventilabdeckhaube # 72 mm, Tassensifon # 32 mm Farbe weiß (Modell ohne Fliege) incl. den Befestigungselementen Maße: B = 245 mm, H = 700 mm, T = 300 mm liefern und montieren  ",0827250000
Waschbecken wandhängend Sanitärporzellan B 550-600mm Ausladung 450-500," Waschbecken DIN EN 31 (wandhängend), aus Sanitärporzellan, Farbton weiß, glasiert, ohne Hahnloch, mit Überlauf, für Ablaufventil, Br eite über 550 bis 600 mm, Ausladung über 450 bis 500 mm, mit Schallschutz DIN 4109-1, @1 Textergänzungen des Auftraggebers Hersteller und Typ 'Duravit / Vero' oder gleichwertig, @2 Textergänzungen des Bieters Hersteller und Typ vom Bieter einzutragen .",2350600060
Klapprost für Ausgussbecken," Klapprost für Ausgussbecken chrom, einschließlich Befestigung an zurvor genannten Ausgussbecken",0050011000
 Behinderten WT EG," Behinderten WT Waschtisch mit Überlauf aus Sanitärkeramik. Barrierefrei gemäß DIN 18040-1 und DIN 18040-2. Großes rechteckiges Becken mit runden Ecken und Hahnlochbank mit Hahnloch für Einlocharmatur. Einbauhöhe 800mm. Abmessungen(BxTxH)600x550x155/130mm.  Befestigung: an Montageelement mit Gewindestangen M10 Farbe:   weiß  Einschließlich Befestigungsmaterial, mit Ablaufventil und Herstellung aller Bohrungen liefern und betriebsfertig montieren.  geplantes Fabrikat:    DURAVIT  geplanter Typ:    D-Code Vital 231260 oder gleichwertiger Art  Gewähltes Fabrikat:  '' (vom Bieter einzutragen)  Gewählter Typ:  '' (vom Bieter einzutragen) liefern und betriebsfertig montieren.",2312600000
" HWB 500 mm, Duravit Vero"," Handwaschbeckenanlage 500 mm, weiß Fabrikat Duravit Typ Vero oder gleichwertig angeboten Fabrikat/Typ:'Duravis Typ Vero' (vom Bieter einzutragen) für 1- und 3 Locharmatur Waschbecken aus Kristallprozellan mit Ab- und Überlauf einschl. Expressbefestigung liefern und montieren",0704450000
Waschtischanlage barrierefrei 600x555mm," aus Sanitärporzellan, weiss, Größe 600 x 555 mm, mit Überlauf, mit Hahnloch, Hahnlochbank, mit Waschtisch-Schallschutzset und Waschtisch-Befestigungs- satz zur Befestigung an TB-Vorwandelement, einschl.allem Zubehör-, Befestigungs- und Kleinmaterial einschl. Abdichtung mit Sanitärsilikon Bestellung erst nach Bemusterung mit Bauherrn! Fabrikat/Typ der Planung: Duravit D-Code @11 Textergänzungen des Bieters angebotenes Fabrikat/Typ: '.........'   (vom Bieter auszufüllen)",2312600000
Ausgussbecken Sanitärporzellan," Ausgussbecken, schockgeprüft, aus Sanitärkeramik, Farbton weiß, wandhängend, mit Spülrand, mit Rückwand, mit Klapprost, chrom, incl. Befestigung. Rechteckige Beckenform mit 35 mm breitem Rand und 100 mm hoch gezogener Rückwand als Spritzschutz. Befestigungspunkte für Montage eines Klapprostes. Einschließlich Befestigungen. Abmessungen ( ca. ): Innenbecken : B 410 x T 350 mm Breite : 480 mm Tiefe:    425 mm Gesamthöhe :  300 mm Fabrikat/Typ der Planung: Duravit, Starck 3 oder gleichwertig @60 Textergänzungen des Bieters Fabrikat: .................... @61 Textergänzungen des Bieters Typ: ....................",0067121000
Waschbecken Sanitärporzellan unterfahrbar B 650-700mm Ausladung 500-," Waschbecken, Beckenaußenform rechteckig, Beckeninnenform rechteckig, aus Sanitärporzellan, Farbton weiß, glasiert, mit Loch für Einl ocharmatur, mit Überlauf, für Ablaufventil, unterfahrbar DIN 18040, Breite über 650 bis 700 mm, Ausladung über 500 bis 550 mm, Befes tigung an Installationselement, mit Schallschutz DIN 4109-1, Ausführung gemäß Einzelbeschreibung,",0309700000
WC-Sitz,,0067310099
 Waschtischanlage bestehend aus:," Waschtischanlage bestehend aus:  1 Waschtisch Duravit Vero 1200 x 470 mm 2 Einhand-Waschtischbatterie Grohe Concetto 1/2""   Ausladung 101 mm, mit Temperaturbegrenzer   mit Zugknopf-Ab- und Überlaufgarnitur 4 Eckventil 1/2"" 2 Röhrengeruchverschluß verchromt 1 1/4""  liefern und montieren",0454120024
 DURAVIT Halbsäule f.Waschtisch ME by Starck Wondergliss Duravit, Duravit Halbsäule ME by Starck aus Sanitärkeramik für 233560000 Hersteller: Duravit Typ: 0858400000 Liefern und montieren,0858400000
"Duravit-D-Code Wand-Tiefspül-WC 54,5cm x 35,5cm,"," Duravit-D-Code Wand-Tiefspül-WC 54,5cm x 35,5cm, 4,5 I, spülrandlos Farbe: weiß liefern und montieren",2570090000
 Reserve-Rollenhalter chrom, Duravit Reserve-Rollenhalter Karree Bestellnummer: 0099561000 Farbe: 10 Chrom  liefern und montieren,0099561000
" Waschtisch 60 cm, weiß, Hahnloch "," Waschtisch 60 cm, weiß, Hahnloch durchstochen, mit Ab-und Überlauf, Geruchverschluss und Ablaufventil verch. Schallschutz-Set  liefern und montieren",2310600000
"Waschtisch WC Behindert 60x55 cm, unterfahrbar"," Rechteckiger Waschtisch nach DIN 14688 , DIN-EN 32 aus Sanitärporzellan Hahnloch Mitte offen; mit rundem Überlauf unterfahrbar Größe:  Breite:ca. 600 mm, Ausladung:ca. 550 mm, Höhe umlaufender Rand: ca. 80 mm Gesamthöhe ca. 160 mm Breite Innenbecken: ca. 520 mm Ausladung Innenbecken: ca. 400 mm Abstand Mitte Ablauf zur Wand: ca. 205 mm Tiefe Hahnlochbank: ca. 125 mm Abstand Mitte Hahnloch zur Wand: ca. 65 mm Gewicht: ca. 19,1 kg Mit leicht nach vorne geneigter Armaturenbank. Aufkantung an der wandbündigen Seite: ca. 16 mm Befestigung: Stockschrauben M 10 x 120 Farbe: weiß (alpin) Fabrikat der Planung: Vigour Typ: CLP60U @60 Textergänzungen des Bieters gewählter Hersteller/Typ: ........................................................................ vom Bieter einzutragen",0309600000
"Waschtisch 500 x 380mm weiss, aus Sanitärporzellan"," Waschtisch 500 x 380mm weiss, aus Sanitärporzellan, Hahnloch Mitte mit Überlauf Breite: 500 mm Ausladung: 380 mm Farbe: weiss  Fabrikat der Planung: Hersteller: KERAMAG Typ: Renova Nr.1 oder gleichwertig angebotenes Fabrikat des Bieters: @11 Textergänzungen des Bieters '.....................................................................'  liefern und montieren",0705450000
"Waschtisch aus Sanitärkeramik, 1200x470x175mm", vom Bieter einzutragen,0454120024
 Urinal," Urinal  Fabrikat:   DURAVIT  Typ:    Starck 3  Duravit Starck 3 Urinal mit Duravit Rimless,Design by PhilippeStarck, aus Sanitärkeramik, Urinal mit Patentierter Duravit Rimless Spültechnologie, optimale Spülwirkung mit 1 Liter. Urinal mit Zulauf von hinten mit Anschluss 1/2"" ohne Spülrand einschließlich Spüldüse. Zulauf-Set, Schaftventil mit keramischer Ventilabdeckhaube 72 mm sowie Tassensiphon und Befestigung. Abmessungen 245x300x700 mm Farbe weiß",0827250000
 Mehrpreis für Sonderbeschichtung," Mehrpreis für Sonderbeschichtung für leichte Reinigung und Schmutzabweisung Herstellerbezeichnung Wondergliss, Keratect oder dergleichen",07044500001
"Wand-WC Tiefspüler, barrierefrei"," Wand-WC Tiefsp ü ler, barrierefrei aus Sanit ä rkeramik 700x370x355mm, Sp ü lrand geschlossen, Abgang waagerecht, Farbe: 00 weiss Fabrikat:         Duravit Typ:               Starck 3 Vital oder gleichwertig @61 Textergänzungen des Bieters Angebotenes Fabrikat: .............................  @62 Textergänzungen des Bieters Angebotener  Typ: .............................  Bietereintrag",2203090000
" D-CODE Wand-Tiefspül-WC Basic|355 x 560 mm, 6,0 Liter, weiß HyG 038691WE", _,0184092000
 Tiefspül-WC Sanitärporzellan glasiert hängend Ausladung 500-600mm," Tiefspül-WC, aus Sanitärporzellan, glasiert, Farbton weiß, wandhängend, Spülmenge 6 l, Ausladung über 500 bis 600 mm, Abgang waagerecht, Befestigung mit Schrauben, verdeckt, Hersteller/Typ ' Duravit / Starck 3' .",2225090000
"Wand-Tiefspül-WC Compact, 350x480 mm",,2211090000
" Waschtisch 600 x 460 mm, weiß"," so wie zuvor beschriebene Position, jedoch:  Breite: 600 mm Tiefe: 460 mm",2310600000
"ME BY STARCK Wand-Tiefspül-WC#370 x 570 mm,"," ME BY STARCK Wand-Tiefspül-WC#370 x 570 mm, 4,5 Liter, verd.Bef., weiß Lieferantenartikelnummer: 2528090000 01382070WE",2528090000
 Urinal Objekt (wandhängend)," Urinal Objekt (wandhängend)1 Urinal, absaugend aus Sani tärkeramik für Deckel ohne optional mit Zielpunkt Flieg e mit verdecktem Zu- und Ablauf. Außen glatte geschloss ene und konische Bauform. Höhe mit aufgeklapptem Deckel 780mm. Außen glatte geschlossene Form. Abgang  waager echt. Zulassung der LGA Würzburg. Einschließlich Befest igung. Abmessungen(BxTxH)320x285x515mm. Weiß. Typ: DURA VIT Starck  oder gleichwertig, angebotenes  [TB01Fabr.: '' ][TB02Typ: '' ] Lieferung und Montage mit allem sys temgebundenem Zubehör",0835320000
Stand-Flachspül-WC," s.w.v., jedoch Stand-Flachspül-WC @11 Textergänzungen des Bieters angebotenes Fabrikat: '..........' liefern und montieren",2109090000
 Schulbecken Sanitärporzellan B bis 600mm Ausladung bis 500mm Fuge verfüllen elast.Dichtstoff Silicon B 5mm," Schulbecken, aus Sanitärporzellan, Standardfarbton, mit Loch für Einlocharmatur, mit Überlauf, mit rechteckigem Innenbecken, mit gesondertem Ablagefach, Seifen- und Schwammablage, Breite bis 600 mm, Ausladung bis 500 mm, Befestigung an Installationselement, mit Schallschutz DIN 4109, einschl. Verfüllen der Fugen, mit elastischem Dichtstoff DIN EN 15651-3, Basis Silicon, Fugenbreite 5 mm, Farbton weiß, Fugenausbildung dreieckig.",0684600000
 Waschtisch B/T in mm 605/500," Waschtisch, aus Feinfeuerton, mit Hahnloch, ohne Überlauf, Breite in mm bis 605. Ausladung bis 500 mm. Farbton/Oberfläche weiß, Befestigung an Installationstragegerüst, ",2311600000
